algorithm,n_cities,median_runtime,median_cpu_time,median_cost
nearest_neighbor,5,15280.0,12750.0,2.515095651856514
nearest_neighbor,10,33670.0,32440.0,3.212719615591709
nearest_neighbor,15,60435.0,59420.0,3.580194191763712
nearest_neighbor,20,95605.0,94665.0,4.606834624668617
nearest_neighbor,25,163825.0,157855.0,5.036089868036617
nearest_neighbor,30,317600.0,288260.0,5.741017624935171
nearest_neighbor_2opt,5,40770.0,38905.0,2.341011404638234
nearest_neighbor_2opt,10,243750.0,230155.0,2.9056519658340525
nearest_neighbor_2opt,15,569270.0,553190.0,3.312556238434982
nearest_neighbor_2opt,20,1339265.0,1324490.0,3.854510800471775
nearest_neighbor_2opt,25,4326630.0,4287985.0,4.290419201665812
nearest_neighbor_2opt,30,5950825.0,5891810.0,4.865034306945319
rrnn_2opt,5,210000.0,209500.0,2.341011404638234
rrnn_2opt,10,1727500.0,1712000.0,2.886298001360694
rrnn_2opt,15,5499500.0,5462500.0,3.154274224164113
rrnn_2opt,20,14181500.0,14149000.0,3.8481822336189278
rrnn_2opt,25,33638500.0,33031000.0,4.211745586562477
rrnn_2opt,30,59456000.0,58122000.0,4.719148263866813
