algorithm,n_cities,median_runtime,median_cpu_time,median_cost
nearest_neighbor,5,7202.0,0.0,2.515095651856514
nearest_neighbor,6,9538.0,0.0,2.4481232678944016
nearest_neighbor,7,11944.0,0.0,2.8003726863064005
nearest_neighbor,8,14284.0,0.0,2.7224804976840966
nearest_neighbor,9,17706.5,0.0,3.056106062984104
nearest_neighbor,10,20724.0,0.0,3.212719615591709
nearest_neighbor,15,41097.5,0.0,3.580194191763712
nearest_neighbor_2opt,5,20929.5,0.0,2.341011404638234
nearest_neighbor_2opt,6,25708.0,0.0,2.4142095311370904
nearest_neighbor_2opt,7,60136.0,0.0,2.519680887599521
nearest_neighbor_2opt,8,61531.5,0.0,2.6059009607281243
nearest_neighbor_2opt,9,88868.0,156250.0,2.864220640453487
nearest_neighbor_2opt,10,118664.5,156250.0,2.9056519658340525
nearest_neighbor_2opt,15,323613.0,312500.0,3.312556238434982
rrnn_2opt,5,135750.0,0.0,2.341011404638234
rrnn_2opt,6,216300.0,0.0,2.4142095311370904
rrnn_2opt,7,370400.0,0.0,2.519680887599521
rrnn_2opt,8,543350.0,0.0,2.6059009607281243
rrnn_2opt,9,682250.0,0.0,2.828235585190521
rrnn_2opt,10,966550.0,0.0,2.886298001360694
rrnn_2opt,15,4085900.0,0.0,3.154274224164113
