algorithm,n_cities,median_runtime,median_cpu_time,median_cost
hill_climbing,5,712000,710000,1.7626458142059525
hill_climbing,6,579000,578000,2.6089012218440675
hill_climbing,7,634000,634000,2.3262306263417134
hill_climbing,8,641000,640000,2.4555067535141473
hill_climbing,9,1025000,1026000,3.1937006768612846
hill_climbing,10,1434000,1434000,3.07251521605947
hill_climbing,15,1104000,1104000,6.5203240961481885
simulated_annealing,5,1313000,1312000,2.505566326698087
simulated_annealing,6,1358000,1358000,2.3385546417692225
simulated_annealing,7,1450000,1451000,2.1516396001449545
simulated_annealing,8,1780000,1751000,2.1106195327585895
simulated_annealing,9,2101000,2101000,2.9542831068735795
simulated_annealing,10,2051000,2038000,3.413174303637164
simulated_annealing,15,2312000,2312000,4.139418662503919
genetic,5,118599000,115499000,2.249612736828632
genetic,6,145342000,144565000,2.6549481998199593
genetic,7,161035000,156301000,2.5485158336662055
genetic,8,190627000,188082000,2.169253240672645
genetic,9,177624000,177032000,2.761946756155129
genetic,10,197870000,196299000,2.426402243497892
genetic,15,293663000,284156000,3.679208701557944
