algorithm,hyperparameter,value,median_cost
hill_climbing,num_restarts,1,6.668974994055719
hill_climbing,num_restarts,5,5.946220957553292
hill_climbing,num_restarts,10,6.031591470445312
hill_climbing,num_restarts,20,5.813860449739108
hill_climbing,num_restarts,30,5.640267442198544
hill_climbing,num_restarts,40,5.226218543331444
hill_climbing,num_restarts,50,5.764298473221127
simulated_annealing,alpha,0.999,5.331937147856101
simulated_annealing,alpha,0.99,5.1903754699528335
simulated_annealing,alpha,0.95,3.481198358315721
simulated_annealing,alpha,0.9,3.903747389828194
simulated_annealing,alpha,0.85,3.957579747952612
genetic,population_size,10,3.714407547053897
genetic,population_size,25,3.3662812655235914
genetic,population_size,50,3.24954030982847
genetic,population_size,75,3.297612668285809
genetic,population_size,100,3.1519960582755875
